X,Y,Heading
21.79,21.60467,54.75529
21.77133,21.60667,54.7825
21.802,21.645,54.79295
21.82,21.62533,54.74327
21.80767,21.595,54.71926
21.74267,21.533,54.72241
21.707,21.55367,54.79692
21.65033,21.55867,54.87844
21.61467,21.532,54.89022
21.57767,21.526,54.93132
21.51633,21.567,55.06738
21.45667,21.64333,55.24814
21.44333,21.68933,55.32677
21.44833,21.76267,55.41678
21.47133,21.806,55.44306
21.53133,0.01166667,10.03105
21.53967,21.80133,55.34591
21.56467,21.757,55.25437
21.491,21.72767,55.31375
21.54267,21.79033,55.32746
21.65833,0.044,10.1164
21.67833,0.05733333,10.15153
21.72333,0.07266667,10.19166
21.78833,0.06733334,10.17706
21.82633,0.05566667,10.14613
21.73167,0.008333334,10.02197
21.75867,21.786,55.03596
0.02166667,21.77433,99.94299
21.75767,21.75833,55.00088
21.77833,21.74667,54.95831
21.78767,21.72433,54.9166
21.79133,21.701,54.88099
21.762,21.707,54.9275
21.75033,21.71033,54.94726
21.72433,21.691,54.95601
21.73433,21.72767,54.99121
21.752,0.019,10.05005
21.71,0.055,10.14515
21.601,0.086,10.22811
21.55967,0.1023333,10.27195
21.54767,0.104,10.27654
21.52867,0.086,10.22888
21.515,0.04166667,10.11096
21.48533,0.01733333,10.04622
21.49833,0.012,10.03198
21.51867,21.796,55.36684
21.52867,21.72833,55.26446
21.56667,21.69333,55.16776
21.621,21.691,55.0926
21.666,21.69367,55.03656
