X,Y,Heading
21.841,0.06666667,10.17489
21.83533,0.06566667,10.17231
21.83633,0.06400001,10.16793
21.837,0.06733334,10.17667
21.83633,0.07366667,10.19329
21.83967,0.07,10.18364
21.83533,0.07666667,10.20117
21.83867,0.086,10.22563
21.83867,0.08200001,10.21513
21.84,0.07833333,10.2055
21.83967,0.05733333,10.15041
21.83967,0.05833333,10.15304
21.84167,0.05866666,10.1539
21.84167,0.05733333,10.1504
21.84,0.06833333,10.17927
21.838,0.07733333,10.2029
21.83867,0.07433333,10.19502
21.838,0.06366667,10.16704
21.838,0.052,10.13643
21.83267,0.1823333,10.47849
21.83967,0.006666667,10.01749
21.83867,0.03066667,10.08046
21.83867,0.04866667,10.12768
21.84167,0.04166667,10.1093
21.84,0.02866667,10.0752
21.845,0.01433333,10.03759
21.841,0.01,10.02623
21.83867,0.017,10.0446
21.841,0.02433333,10.06383
21.83867,0.017,10.0446
21.84167,0.012,10.03148
21.838,0.01266667,10.03323
21.83967,0.01533333,10.04023
21.84,0.001,10.00262
21.838,21.84433,55.0083
0.003666667,0.04666667,95.50742
0.006666667,0.1133333,96.63354
0.001,0.04033333,98.57973
21.837,21.84433,55.00962
21.841,0.001,10.00262
21.83867,21.83467,54.99475
21.841,21.83367,54.99038
21.84167,21.83533,54.99169
21.83967,0.002,10.00525
21.84,0.007333333,10.01924
21.84267,0.02766667,10.07257
21.84167,0.008333334,10.02186
21.841,21.84433,55.00437
21.845,0.004333333,10.01137
21.84167,0.009,10.02361
21.84267,0.01433333,10.0376
21.83867,0.008333334,10.02186
21.84167,0.01,10.02623
21.84167,0.01066667,10.02798
21.84333,0.017,10.04459
21.84167,0.01733333,10.04547
21.841,0.01733333,10.04547
21.84267,0.006666667,10.01749
21.841,0.001,10.00262
21.84267,0.003666667,10.00962
21.841,0.02166667,10.05684
21.84,0.03,10.0787
21.84,0.01833333,10.0481
21.62533,20.95633,54.0999
21.58133,20.82033,53.9718
21.436,20.713,54.01727
21.36367,20.93,54.41253
21.408,21.19133,54.70858
21.49933,21.115,54.48327
21.68767,20.93633,53.99015
21.84333,21.042,53.92952
0.01066667,20.972,99.97086
21.68133,20.912,53.96522
21.58367,20.99133,54.20291
21.56833,21.011,54.25008
21.54333,20.916,54.15352
21.58667,20.88333,54.05123
21.61967,20.93,54.0714
21.638,21.03667,54.19269
21.77367,21.21367,54.25364
0.01433333,21.39033,99.9616
21.76833,21.51133,54.65977
0.03066667,21.15467,99.91694
21.81533,21.00167,53.91132
21.74267,20.853,53.80347
21.58,20.776,53.91254
21.52333,20.90333,54.16277
21.64867,21.02,54.15588
21.758,20.98467,53.96347
21.51633,20.85833,54.11037
21.27633,21.15967,54.84248
21.208,21.453,55.32904
21.18433,21.55933,55.50265
21.151,21.50167,55.47104
21.177,21.12667,54.93183
21.50967,20.92533,54.21108
21.68533,20.96267,54.02922
21.72,21.081,54.14466
21.59833,21.24267,54.52434
21.507,21.21367,54.60659
