X,Y,Z,Heading
21.78367,0.9123333,21.576,12.39823
21.803,0.896,21.576,12.35326
21.79833,0.9123333,21.576,12.39662
21.79767,0.8953334,21.576,12.35209
21.76767,0.89,21.576,12.34131
21.75967,0.9303333,21.576,12.44819
21.79367,1.007333,21.576,12.64641
21.82633,1.067667,21.576,12.80047
0.005333333,1.089333,21.576,99.71948
21.83167,1.119,21.576,12.93417
0.004333333,1.138667,21.576,99.78195
0.04433333,1.169,21.576,97.82814
0.07233334,1.19,21.576,96.52158
0.1206667,1.205667,21.576,94.28469
0.1823333,1.200667,21.576,91.36503
0.2036667,1.197667,21.576,90.349
0.2586667,1.195,21.576,87.78632
0.3876667,1.175333,21.576,81.74561
0.5033333,1.127667,21.576,75.94643
0.5193334,1.112333,21.576,74.97276
0.535,1.094333,21.576,73.94681
0.5303333,1.063333,21.576,73.49245
0.5383334,1.057667,21.576,73.02472
0.5853333,1.010333,21.576,69.91428
0.589,0.9940001,21.576,69.35091
0.589,0.987,21.576,69.17303
0.5373333,0.9716667,21.576,71.05733
0.514,0.9403333,21.576,71.33833
0.5303333,0.884,21.576,69.03942
0.5506667,0.82,21.576,66.11687
0.5723333,0.7653334,21.576,63.21004
0.5736667,0.7403333,21.576,62.22874
0.5673333,0.7076667,21.576,61.28099
0.521,0.6666667,21.576,61.99237
0.496,0.6236667,21.576,61.50488
0.4733333,0.591,21.576,61.30868
0.452,0.559,21.576,61.04145
0.4443334,0.5186667,21.576,59.41387
0.421,0.4916667,21.576,59.42751
0.411,0.4783333,21.576,59.32972
0.4326667,0.4656667,21.576,57.10379
0.484,0.5176666,21.576,56.92502
0.5176666,0.6126667,21.576,59.80419
0.522,0.734,21.576,64.58064
0.4743333,0.892,21.576,71.99757
0.305,0.9843333,21.576,82.78417
0.2643333,0.9673333,21.576,84.71648
0.2283333,0.9473333,21.576,86.44861
0.205,0.9053333,21.576,87.24133
0.191,0.9176666,21.576,88.24251
0.166,0.98,21.576,90.38605
0.13,1.019,21.576,92.7297
0.095,1.015667,21.576,94.6564
0.09833334,1.012,21.576,94.45014
0.239,1.03,21.576,86.93633
0.3653333,0.995,21.576,79.83832
0.4626667,0.917,21.576,73.22705
0.5226667,0.804,21.576,66.97279
0.535,0.752,21.576,64.57057
0.531,0.679,21.576,61.97344
0.507,0.6026667,21.576,59.9274
0.4526667,0.524,21.604,59.17732
0.4103333,0.5023334,21.604,60.75617
0.3733333,0.5016666,21.604,63.34389
0.357,0.5023334,21.604,64.59922
0.3606667,0.5036666,21.604,64.39423
0.3643333,0.5,21.604,63.92042
0.3893333,0.4936667,21.604,61.7387
0.4076666,0.5053333,21.604,61.1059
0.3876667,0.455,21.604,59.56852
0.3636667,0.4173333,21.604,58.93092
0.347,0.3793334,21.604,57.54889
0.325,0.352,21.604,57.28385
0.319,0.3366667,21.604,56.54344
0.3326667,0.3273333,21.604,54.53701
0.3606667,0.3286667,21.604,52.34214
0.397,0.3706666,21.604,53.03534
0.425,0.4236667,21.604,54.90998
0.4543334,0.4883333,21.604,57.06564
0.4733333,0.5786667,21.604,60.71778
0.4986667,0.685,21.604,63.94611
0.4606667,0.8453333,21.604,71.4117
0.4103333,0.896,21.604,75.39405
0.3406667,0.9386666,21.604,80.05283
0.24,0.9853333,21.604,86.31088
0.1723333,0.9993333,21.604,90.21567
0.1283333,0.9886666,21.604,92.6041
0.04366667,0.9143333,21.604,97.26574
0.012,0.8723333,21.604,99.21187
0.022,0.8416666,21.604,98.5027
0.04366667,0.795,21.604,96.85609
0.092,0.78,21.604,93.27311
0.1406667,0.7473333,21.604,89.34023
0.101,0.7833333,21.604,92.65303
21.75433,0.745,21.604,11.96139
21.701,0.7256666,21.604,11.91522
21.74167,0.7186666,21.604,11.89321
21.711,0.735,21.604,11.93894
21.728,0.7736667,21.604,12.03926
21.752,0.7886667,21.604,12.07648
21.746,0.759,21.604,11.99898
21.71533,0.6943333,21.604,11.83137
21.69933,0.6586667,21.604,11.73864
21.701,0.6433333,21.604,11.69806
21.68833,0.6026667,21.604,11.5917
21.68,0.7059999,21.604,11.86515
21.66367,0.766,21.604,12.02506
21.64867,0.8190001,21.604,12.16655
21.66033,0.8623334,21.604,12.27983
21.7,0.9153334,21.604,12.41538
21.72333,0.9683333,21.604,12.55231
21.72867,0.972,21.604,12.56133
21.76433,1.010333,21.604,12.65785
21.81467,1.054,21.604,12.76616
0.04533333,1.082,21.604,97.60083
0.08666667,1.084,21.604,95.42887
0.1686667,1.077667,21.604,91.10474
0.2256667,1.047667,21.604,87.84425
0.221,1.051667,21.604,88.13239
0.2266667,1.054,21.604,87.86317
0.1576667,1.041667,21.604,91.39304
21.82633,0.9706667,21.604,12.5464
21.70467,0.8586666,21.604,12.26552
21.64267,0.6703333,21.604,11.77404
21.75033,0.405,21.604,11.06675
21.83867,0.3403333,21.604,10.89282
0.1003333,0.306,21.604,81.84637
0.1553333,0.3086667,21.604,73.28664
0.211,0.3176667,21.604,66.40716
0.264,0.3436667,21.604,62.46902
0.3336667,0.369,21.604,57.87867
0.3833333,0.4003334,21.604,56.24271
0.3616667,0.377,21.604,56.18918
0.2483333,0.3273333,21.604,62.81401
0.1553333,0.3223333,21.604,74.27045
21.80633,0.3983333,21.604,11.0465
21.737,0.49,21.604,11.29136
21.70367,0.566,21.604,11.49385
21.69833,0.644,21.604,11.70002
21.69633,0.7233334,21.604,11.90948
21.708,0.8243333,21.604,12.17469
21.76833,0.9233334,21.604,12.42882
0.0003333333,0.9956667,21.604,99.98081
0.1126667,1.038333,21.604,93.80721
0.1866667,1.048333,21.604,89.9037
0.204,1.042333,21.604,88.92635
